	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_836	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_837	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_838	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_839	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_840	NA	NA	NA	NA	NA	NA	NA
ASV_841	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_842	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_843	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_844	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_845	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_846	NA	NA	NA	NA	NA	NA	NA
ASV_847	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_848	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_849	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_850	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_851	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_852	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_853	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__
ASV_854	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_855	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__	s__
ASV_856	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_857	NA	NA	NA	NA	NA	NA	NA
ASV_858	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_859	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_860	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_861	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_862	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_863	NA	NA	NA	NA	NA	NA	NA
ASV_864	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_865	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_866	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_867	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_868	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_869	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_870	NA	NA	NA	NA	NA	NA	NA
ASV_871	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Epulopiscium	s__
ASV_872	NA	NA	NA	NA	NA	NA	NA
ASV_873	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_874	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_875	NA	NA	NA	NA	NA	NA	NA
ASV_876	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_877	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_878	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_879	NA	NA	NA	NA	NA	NA	NA
ASV_880	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_881	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_882	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_883	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_884	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_885	NA	NA	NA	NA	NA	NA	NA
ASV_886	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_887	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_888	NA	NA	NA	NA	NA	NA	NA
ASV_889	NA	NA	NA	NA	NA	NA	NA
ASV_890	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_891	NA	NA	NA	NA	NA	NA	NA
ASV_892	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_893	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_894	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_895	NA	NA	NA	NA	NA	NA	NA
ASV_896	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__butyricum
ASV_897	NA	NA	NA	NA	NA	NA	NA
ASV_898	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_899	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_900	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_901	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_902	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_903	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_904	NA	NA	NA	NA	NA	NA	NA
ASV_905	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_906	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_907	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_908	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_909	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_910	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_911	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_912	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_913	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_914	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_915	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_916	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_917	k__Bacteria	 Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__C21_c20
ASV_918	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_919	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_920	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_921	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_922	NA	NA	NA	NA	NA	NA	NA
ASV_923	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_924	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_925	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_926	NA	NA	NA	NA	NA	NA	NA
ASV_927	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_928	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_929	NA	NA	NA	NA	NA	NA	NA
ASV_930	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_931	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_932	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_933	NA	NA	NA	NA	NA	NA	NA
ASV_934	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_935	NA	NA	NA	NA	NA	NA	NA
ASV_936	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_937	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_938	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_939	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_940	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_941	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_942	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_943	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_944	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_945	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_946	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_947	NA	NA	NA	NA	NA	NA	NA
ASV_948	NA	NA	NA	NA	NA	NA	NA
ASV_949	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_950	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_951	NA	NA	NA	NA	NA	NA	NA
ASV_952	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_953	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_954	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_955	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_956	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_957	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_958	NA	NA	NA	NA	NA	NA	NA
ASV_959	NA	NA	NA	NA	NA	NA	NA
ASV_960	NA	NA	NA	NA	NA	NA	NA
ASV_961	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_962	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_963	k__Bacteria	NA	NA	NA	NA	NA	NA
