	mouse01	mouse02	mouse03	mouse04	mouse05	mouse06	mouse07	mouse08	mouse09	mouse10	mouse11	mouse12	mouse13	mouse14	mouse15	mouse16	mouse17	mouse18	mouse19	mouse20	mouse21	mouse22	mouse23	mouse24	mouse25	mouse26	mouse27	mouse28	mouse29	mouse30	mouse31	mouse32	mouse33	mouse34	mouse35	mouse36	mouse37	mouse38	mouse39	mouse40	mouse41	mouse42	mouse43	mouse44	mouse45	mouse46	mouse48
ASV_55	163	257	528	141	393	323	46	555	306	319	604	123	490	481	407	511	109	1	334	224	3	1	30	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
ASV_56	70	82	6	66	66	57	145	142	86	102	76	150	81	0	117	187	250	89	228	111	0	213	137	42	206	307	135	299	239	536	1	198	705	319	371	107	0	1	95	0	104	0	0	83	0	1	73
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	172	0	0	2	1	159	1229	135	69	2356	0	2	0	814	1	1	1	1	2	3	1	0	0	2	0	1212	0	0	1	0	0	0
ASV_58	3	2	57	0	2	57	0	55	1	1	3	0	33	913	2	207	1	0	7	0	4	2	5	3	0	0	0	0	17	0	0	1	0	0	0	0	72	3	9	5	828	963	740	604	612	297	148
ASV_59	10	8	48	2	5	28	0	66	0	0	1	1	0	0	70	0	1	3	1	0	6	1	4	0	0	235	294	1	3	159	103	258	0	5	1	29	364	196	514	493	323	170	826	169	280	180	161
ASV_60	7	36	73	2	11	55	14	149	52	6	27	30	36	21	13	51	28	12	28	28	10	0	124	0	277	452	376	30	453	379	198	183	234	195	274	9	2	153	33	182	446	44	0	158	0	47	28
ASV_61	310	74	45	74	119	45	598	167	151	172	631	226	71	78	33	54	44	68	173	81	154	50	55	112	65	19	39	39	66	34	242	0	57	23	61	95	19	71	0	0	86	0	229	0	44	127	0
ASV_62	285	117	110	66	108	197	104	92	101	145	117	175	213	631	140	180	195	152	194	115	266	97	137	25	124	3	57	60	61	8	7	9	160	13	28	33	11	44	4	6	17	2	5	42	1	10	1
ASV_63	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	3	0	0	1	2	4553	0	0	0	0	0	0	0	0	0	8	1
ASV_64	0	0	2	0	2	0	1	4	1	1	5	0	1	0	2	0	0	1	2	4	0	0	1	0	2600	1	5	2	1	0	4	2	4	0	1827	57	0	0	0	0	0	0	0	1	0	0	0
