	mouse01	mouse02	mouse03	mouse04	mouse05	mouse06	mouse07	mouse08	mouse09	mouse10	mouse11	mouse12	mouse13	mouse14	mouse15	mouse16	mouse17	mouse18	mouse19	mouse20	mouse21	mouse22	mouse23	mouse24	mouse25	mouse26	mouse27	mouse28	mouse29	mouse30	mouse31	mouse32	mouse33	mouse34	mouse35	mouse36	mouse37	mouse38	mouse39	mouse40	mouse41	mouse42	mouse43	mouse44	mouse45	mouse46	mouse48
ASV_129	33	19	56	24	40	51	17	51	72	12	42	36	10	23	8	37	19	12	46	4	24	2	20	3	0	0	0	0	0	0	0	0	11	0	1	9	0	0	0	0	0	0	0	0	0	0	0
ASV_130	2	0	0	0	0	1	4	1	2	2	0	0	1	0	0	0	0	1	0	0	8	3	7	0	1	0	3	0	0	0	624	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0
ASV_131	0	14	19	20	0	0	32	0	0	14	0	0	0	5	0	0	1	0	0	52	0	0	0	40	0	52	0	59	67	2	0	56	1	0	0	0	46	0	0	0	0	1	0	77	0	68	29
ASV_132	7	5	13	16	11	13	14	19	7	58	36	17	15	35	6	7	49	28	14	18	46	19	38	1	0	0	0	35	0	0	0	1	18	0	0	1	0	35	0	38	0	1	7	19	0	0	0
ASV_133	27	37	48	46	68	6	22	38	42	16	35	23	4	0	25	8	16	8	1	4	50	23	85	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	30	0	15	5	18	2	18	29	0	0	19	19	18	6	14	10	14	13	0	1	18	56	2	5	11	2	5	23	3	2	8	13	4	14	40	11	16	13	0	38	14	5	30	9	37	3	3
ASV_135	13	19	3	11	20	5	7	15	8	15	24	5	41	19	29	20	26	8	17	20	50	76	58	24	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0
ASV_136	7	3	11	6	10	8	7	13	5	2	15	1	3	4	7	3	19	5	5	11	19	4	7	1	34	4	24	9	1	26	59	10	15	13	39	18	3	13	12	11	15	20	38	8	36	19	5
ASV_137	0	1	32	2	0	31	0	15	4	0	13	1	4	0	11	0	8	0	1	3	0	0	0	0	0	0	0	0	0	0	7	0	10	0	0	97	35	37	0	0	27	11	20	55	123	6	54
ASV_138	10	31	25	10	19	203	47	35	59	16	70	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_139	32	4	17	8	12	6	8	22	31	40	14	0	7	0	26	12	45	31	0	10	47	0	21	7	12	1	18	25	13	0	0	1	74	0	0	0	0	0	1	0	12	0	0	24	0	0	0
ASV_140	16	20	17	22	22	16	30	69	23	14	67	15	27	22	21	31	45	11	51	27	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2
ASV_141	52	6	26	19	24	15	48	14	20	14	16	37	14	0	7	11	0	21	18	31	36	0	48	0	0	2	0	0	0	0	3	0	0	0	0	2	1	14	21	16	28	0	1	0	0	0	1
ASV_142	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	556	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	17	0	80	52	1	0	0	209	0	0	42	0	34	0	1	0	0	0	0	0	0	0
ASV_144	0	0	0	0	0	0	0	0	70	10	1	31	0	1	0	29	0	0	1	0	0	113	215	29	0	0	0	0	57	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_145	0	0	0	0	3	0	0	0	0	0	4	0	0	6	0	0	2	3	0	0	5	0	12	0	27	14	45	44	8	38	56	41	38	17	11	6	8	9	45	23	4	0	38	21	2	19	8
ASV_146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	542	0	0	0	0	0	0	0	0	0	1	0
ASV_147	15	3	6	37	39	8	64	8	7	5	79	11	0	0	17	27	0	1	0	15	35	31	132	4	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
ASV_148	0	0	0	0	0	0	0	0	58	16	0	40	0	0	1	32	1	0	0	0	0	110	176	17	0	0	0	0	61	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	69	39	10	0	0	0	1	0	0	0	75	227	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	1	0	0	0	0	0	221	0	37	0	40	0	0	0	1	0	0	0	0	0	0
ASV_151	13	6	7	2	9	3	4	6	1	8	7	1	8	2	5	0	12	2	7	5	15	8	4	0	31	7	15	4	2	17	49	6	17	4	30	11	8	7	24	8	12	10	46	16	22	9	4
ASV_152	5	3	6	2	7	4	1	8	1	7	14	2	2	5	6	2	15	9	5	8	10	9	7	1	30	1	17	6	4	17	39	6	10	11	21	22	9	14	19	15	17	9	41	12	18	10	1
ASV_153	0	1	1	0	0	1	0	0	1	0	0	0	1	20	5	0	1	2	0	0	0	3	0	0	87	34	6	8	20	102	0	27	30	73	43	3	0	0	0	1	0	0	1	0	0	0	1
ASV_154	3	0	14	4	0	0	0	1	0	0	25	3	0	0	0	6	0	1	0	2	54	0	131	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_155	22	19	21	10	22	15	27	23	20	21	22	7	17	17	13	15	38	23	18	16	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_156	3	2	2	5	11	2	5	5	2	4	5	1	4	3	5	0	15	7	6	4	6	10	6	0	28	1	9	5	1	9	38	5	13	9	20	15	7	8	16	8	10	2	43	9	21	6	5
ASV_157	8	11	11	7	11	6	6	7	14	16	9	6	8	14	5	6	22	10	11	8	14	6	10	3	5	8	15	3	2	4	14	8	8	13	9	5	1	10	13	12	8	10	2	5	7	5	1
ASV_158	2	13	10	0	20	3	8	6	19	9	15	13	16	0	17	1	4	4	0	3	10	1	13	4	0	0	0	0	12	34	0	0	74	0	0	11	0	6	0	0	7	1	5	33	0	0	23
ASV_159	0	0	7	3	2	12	1	4	10	5	5	12	2	26	5	5	3	6	9	3	2	5	2	0	4	25	4	17	10	20	4	10	46	5	0	0	0	28	6	2	0	45	2	13	12	7	3
ASV_160	2	0	0	0	2	1	0	1	2	3	0	3	0	2	1	0	0	1	2	0	0	1	2	0	0	0	8	3	1	0	2	0	0	0	1	0	96	2	78	2	8	36	43	7	54	18	10
ASV_161	12	19	14	13	27	9	21	26	19	24	27	11	17	22	16	11	24	25	19	14	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_162	22	0	4	6	22	9	11	21	23	32	23	0	58	54	0	13	14	6	36	11	0	0	2	1	0	0	1	2	0	1	0	0	1	0	2	0	0	0	1	1	0	1	2	0	0	0	1
ASV_163	3	2	2	16	33	32	0	73	66	21	66	0	0	0	1	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	1	1	0	33	0	0	0	0	1	14	0	5	0	0	0	1
ASV_164	3	4	2	1	10	2	9	5	5	5	6	1	4	2	2	0	9	0	4	2	3	7	4	1	18	0	11	1	1	12	33	1	10	5	20	6	1	10	12	6	14	7	45	11	26	10	4
ASV_165	13	8	28	2	10	11	6	9	18	11	13	2	12	6	11	4	22	14	7	6	12	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	23	15	6	29	6	0	4	3
ASV_166	2	9	4	9	1	2	9	19	14	11	50	1	29	0	13	1	100	20	1	18	0	1	15	0	18	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0
ASV_168	28	23	3	21	14	9	10	8	20	47	107	3	3	2	11	1	12	5	4	9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_169	1	0	0	0	48	23	32	20	70	0	17	79	0	0	20	13	0	0	0	14	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_170	2	8	8	2	7	6	9	10	8	3	6	6	8	0	9	9	0	0	4	8	0	0	9	0	7	0	7	0	0	14	13	9	17	12	12	9	15	11	17	0	8	15	12	0	21	17	0
ASV_171	5	0	8	1	8	1	2	6	8	3	5	5	2	10	11	4	7	3	4	6	10	11	4	0	6	11	2	5	6	48	8	3	21	9	6	0	9	9	16	2	4	11	2	13	14	5	4
ASV_172	9	12	29	3	13	4	7	5	12	16	14	29	5	12	7	16	8	1	3	8	12	18	4	0	7	2	4	30	3	0	4	1	24	0	6	0	0	6	0	1	0	0	0	0	0	0	0
ASV_173	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	2	27	6	3	29	1	11	4	17	5	15	13	35	15	13	1	7	15	12	7	22	3	26	9	7	18	4
ASV_174	3	3	12	5	7	6	7	5	9	10	6	8	3	14	8	6	7	17	6	12	12	11	4	0	9	2	6	7	2	2	10	8	17	15	5	8	1	5	11	9	9	9	3	3	8	2	1
ASV_175	39	16	20	3	23	0	31	36	8	51	42	36	0	0	0	0	0	0	0	0	18	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
ASV_176	7	4	6	2	4	12	3	7	4	9	10	2	16	31	8	11	8	13	16	11	24	29	23	1	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_177	0	0	0	2	2	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	12	43	16	18	84	28	0	73	5	15
ASV_178	4	0	0	0	0	4	1	1	0	1	0	1	0	2	0	10	0	0	1	2	20	11	0	0	6	12	13	6	0	0	0	18	19	16	27	0	7	12	11	41	18	5	21	0	21	11	0
ASV_179	0	12	10	2	46	3	17	0	14	24	0	29	0	161	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_180	5	2	2	2	8	3	6	8	2	3	6	0	3	1	3	1	12	2	3	3	7	6	5	0	15	3	11	1	1	12	38	4	3	10	9	14	4	9	19	5	5	4	26	9	11	3	2
ASV_181	12	5	8	2	9	11	9	5	11	4	7	4	5	11	14	1	16	6	8	5	8	6	5	3	7	3	9	5	1	2	11	2	11	9	6	0	0	7	11	9	4	13	8	4	8	3	2
ASV_182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	33	0	0	0	0	175	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_183	12	6	11	8	7	5	9	5	9	5	4	9	2	10	7	9	4	6	9	4	9	4	7	3	4	2	5	5	1	6	15	4	9	15	10	6	0	5	11	7	2	8	6	2	5	5	4
ASV_184	0	13	0	0	0	0	2	0	0	0	0	53	0	1	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_185	19	3	1	11	16	8	2	12	15	15	17	9	11	0	3	9	1	2	0	8	34	26	21	7	12	2	14	0	0	0	2	0	0	0	6	4	0	0	0	0	6	0	0	0	0	0	0
ASV_186	4	2	4	1	5	8	8	3	0	2	4	0	4	2	1	1	13	6	1	2	11	4	2	1	20	0	5	2	3	15	28	3	6	15	11	8	3	9	13	6	7	5	23	6	11	2	4
ASV_187	3	11	13	4	3	1	0	6	13	4	21	1	0	0	18	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	46	0	35	8	43	20	0	1	21	0	13	0
ASV_188	12	3	2	1	2	5	3	0	5	6	1	1	2	7	0	10	10	9	3	3	13	21	30	15	17	4	0	9	3	6	8	8	24	16	12	2	0	2	5	6	0	0	0	0	7	0	0
ASV_189	9	9	9	3	11	3	4	7	7	10	5	5	4	14	10	4	8	9	4	4	7	11	2	1	9	4	4	3	0	6	12	8	7	12	11	5	3	3	9	8	8	9	1	3	4	1	1
ASV_190	0	6	3	10	0	0	9	0	0	8	0	0	0	1	0	0	0	0	0	18	0	0	0	18	0	29	0	21	26	0	0	32	0	0	0	0	35	0	0	0	0	0	0	32	0	33	10
ASV_191	4	3	13	0	3	1	2	5	16	2	12	7	13	15	12	23	2	3	13	17	32	36	14	11	0	0	0	0	0	0	0	0	0	0	1	16	0	8	0	0	0	0	0	0	0	0	0
ASV_192	0	0	44	0	0	1	0	0	0	0	0	0	0	0	4	0	208	21	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_193	6	15	10	12	21	10	16	15	20	8	15	3	9	7	20	11	23	9	18	21	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_194	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	2	7	0	0	42	12	5	19	22	13	3	0	11	15	14	24	20	28	0	17	5	1
ASV_195	3	0	3	1	2	3	3	3	1	1	4	0	7	0	2	1	10	3	2	2	4	4	2	0	21	1	14	2	4	14	30	1	15	5	6	3	4	8	17	7	9	6	23	3	18	2	1
ASV_196	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	62	1	0	173	0	2	0	1	1	22	1	0	1	0	0	4	0	0
ASV_197	0	7	7	16	0	0	8	0	0	7	0	0	0	5	0	0	0	0	0	8	0	0	0	18	0	26	0	20	28	0	0	37	0	0	0	0	22	0	0	0	0	1	0	30	0	22	9
ASV_198	3	0	2	1	7	2	2	5	3	2	3	1	2	3	2	0	13	5	4	6	9	4	6	1	17	0	5	1	1	11	31	3	11	3	9	5	3	5	6	5	4	2	31	4	12	6	1
ASV_199	8	11	6	3	1	4	9	13	7	11	7	5	6	6	13	4	10	5	4	4	12	6	1	3	4	0	6	2	4	3	12	4	9	10	6	3	2	5	4	8	2	4	1	4	6	0	0
ASV_200	0	3	7	9	0	0	11	0	0	8	0	0	0	2	0	0	0	0	0	18	0	0	0	16	0	22	0	31	20	0	0	26	0	0	0	0	22	0	0	0	0	0	0	28	0	22	10
ASV_201	25	44	14	13	0	2	53	7	2	0	11	1	0	4	26	2	0	1	0	3	7	5	2	0	3	0	7	0	1	0	0	0	1	0	0	3	1	1	0	4	4	1	1	0	2	1	0
ASV_202	3	4	28	1	0	2	7	16	5	1	4	3	1	0	21	14	10	0	1	1	18	13	27	2	0	0	0	0	0	0	0	0	40	0	0	1	26	0	0	0	1	0	1	1	0	0	0
ASV_203	12	4	1	5	14	3	2	4	5	11	12	2	12	0	1	9	0	2	0	15	15	34	24	3	8	0	12	0	0	0	9	0	0	0	7	15	0	4	0	0	4	0	0	0	0	0	0
ASV_204	4	2	9	5	14	13	13	36	44	85	11	0	1	0	0	2	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_205	5	9	13	10	17	10	24	15	19	7	9	10	12	5	6	6	21	9	14	17	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_206	14	1	4	3	4	2	6	6	0	0	0	4	0	25	1	18	0	15	18	13	23	20	11	8	0	0	0	0	0	0	1	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	1	0	6	0	2	4	0	5	9	5	4	13	3	6	3	9	2	5	8	25	8	26	12	9	0	0	2	0	6	0	0	9	21	3	7	0	0	20	0	0	0	0	0	4	0	3	0
ASV_208	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	4	10	3	1	2	0	1	3	1	9	18	4	7	16	12	2	3	8	13	2	5	0	2	27	6	0	10	14	2	12	14	11
ASV_209	6	5	5	11	12	5	9	14	13	4	18	3	16	9	11	17	27	9	15	11	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_210	4	2	1	0	3	2	5	5	3	2	3	0	4	2	4	0	7	2	2	1	3	3	5	0	16	0	5	1	1	15	24	1	5	3	8	7	2	5	15	6	2	2	21	13	11	6	1
ASV_211	3	0	7	1	12	0	1	5	2	2	23	0	12	3	8	0	7	4	13	0	9	8	16	10	0	0	1	1	0	0	0	0	1	0	0	0	0	25	41	0	1	1	2	0	1	1	8
ASV_212	8	19	8	7	10	11	7	12	11	9	16	8	17	3	13	5	29	3	0	7	6	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_213	0	0	1	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	1	8	0	0	0	6	0	0	0	1	4	0	1	0	0	0	0	0	194	0	2	0	2	0
ASV_214	7	21	9	2	42	28	22	47	27	9	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0
ASV_215	3	0	9	1	0	1	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0	35	42	25	1	46	36	0
ASV_216	1	1	0	0	0	3	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	197	3	0	2	7	0
ASV_217	3	0	3	2	0	0	0	0	0	0	10	3	0	0	0	1	2	0	0	4	17	1	80	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_218	11	9	6	16	8	6	10	7	16	11	13	8	6	11	11	11	15	10	7	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_219	4	7	6	1	2	8	1	5	11	9	1	6	4	5	7	4	11	1	4	3	5	3	6	3	8	2	2	5	4	2	15	2	3	7	9	2	1	4	7	6	0	8	3	0	2	1	1
ASV_220	9	0	0	0	2	6	3	1	3	6	0	7	19	1	1	2	15	6	8	13	7	35	7	3	0	0	0	0	6	0	0	0	20	0	0	0	0	19	1	4	0	0	0	0	0	0	0
ASV_221	55	0	0	26	18	20	1	23	11	1	35	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	1	0	5	0
ASV_223	1	0	6	1	3	2	2	4	5	3	4	2	1	7	3	1	6	0	1	8	4	2	3	0	3	10	5	1	6	27	1	4	5	6	3	1	5	5	10	6	1	4	1	14	12	2	0
ASV_224	4	0	0	1	3	2	6	2	3	1	6	1	3	1	2	0	4	1	3	1	4	3	2	0	15	1	6	2	3	6	25	2	4	5	10	6	2	1	7	3	5	6	26	4	4	2	2
ASV_225	2	2	0	1	7	2	0	4	2	2	3	0	1	2	3	0	6	1	4	2	6	4	3	0	11	1	6	0	0	5	34	0	2	3	11	2	0	1	15	7	12	7	8	0	12	2	2
ASV_226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	28	0	0	25	104	0	0	0	0	0	0	0	0	1	0	0	2	0	26	0	0
ASV_227	25	0	1	0	1	1	0	2	14	7	14	0	4	0	6	0	35	24	0	0	1	0	0	0	7	0	0	0	1	0	0	0	48	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_228	3	6	4	2	8	4	3	5	4	4	2	4	2	5	6	2	6	4	3	1	5	5	5	1	5	0	5	6	0	6	10	1	7	9	4	4	0	5	14	8	1	11	1	1	4	1	0
ASV_229	11	9	4	6	13	2	3	6	6	10	10	2	24	6	6	5	26	6	12	9	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_230	2	1	1	0	0	1	3	0	1	0	1	1	0	0	1	2	1	6	2	2	6	9	2	0	21	2	8	15	5	27	5	8	13	3	3	0	2	0	1	1	0	1	12	1	23	2	0
ASV_231	1	4	10	2	2	4	7	8	3	4	4	3	2	10	8	6	8	2	7	3	7	4	4	2	1	2	3	3	0	5	5	5	7	6	2	1	0	3	6	4	4	5	3	5	4	1	3
ASV_232	1	2	2	0	2	0	2	2	2	0	1	1	2	4	3	1	4	2	1	0	3	5	2	0	17	0	9	2	1	6	25	0	3	4	4	10	2	4	15	9	7	1	18	1	8	3	0
ASV_233	14	12	29	0	2	12	10	24	22	8	27	8	9	0	1	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
ASV_234	3	8	3	9	17	6	10	9	16	4	9	9	5	9	6	5	17	17	11	9	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_235	5	9	3	3	8	1	0	4	13	9	6	4	9	0	2	5	1	6	13	12	31	18	17	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_236	0	1	2	4	1	2	2	1	3	3	3	0	0	1	1	1	8	3	3	4	3	0	3	0	10	2	9	1	1	8	11	2	6	1	3	11	1	10	5	3	7	7	15	10	9	5	2
ASV_237	8	1	3	4	2	8	3	4	5	7	6	7	1	4	7	1	10	2	6	4	7	1	0	3	4	4	8	4	1	2	7	3	0	11	3	0	1	4	7	4	2	11	0	2	6	0	0
ASV_238	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	40	0	0	0	0	0	8	12	10	23	4	0	55	0	26	5	0
ASV_239	2	2	1	1	2	0	2	4	2	1	1	1	3	1	1	1	6	2	0	2	5	2	1	0	15	2	6	4	2	11	26	1	1	5	2	7	6	3	7	7	2	2	12	7	9	1	3
ASV_240	5	5	25	6	8	9	4	4	11	5	13	1	2	10	15	4	15	9	3	0	9	2	6	2	0	0	0	0	1	0	0	0	0	1	1	0	0	3	1	0	0	1	0	0	1	0	0
ASV_241	1	10	11	9	16	15	3	16	21	2	37	4	0	0	7	0	0	0	9	6	2	0	3	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	2	0	0	0
ASV_242	6	4	2	10	5	1	3	5	6	8	9	3	5	0	0	9	2	1	0	4	23	18	17	3	4	0	5	0	0	0	1	0	0	0	7	6	0	3	0	0	7	0	0	1	0	0	0
ASV_243	7	7	8	6	9	8	6	11	15	8	11	8	6	8	2	5	14	17	7	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_244	1	1	0	2	2	1	1	3	2	2	2	0	1	2	5	2	5	2	3	1	1	1	6	1	12	3	4	1	0	8	10	4	10	3	8	3	2	6	6	6	4	5	18	1	8	7	1
ASV_245	5	15	5	3	4	4	6	9	17	2	10	5	7	12	8	4	14	8	17	8	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_246	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	4	0	0	0	10	13	37	14	2	9	8	16	11	3	3	2	4	2	7	4	2	0	9	3	0	2	1
ASV_247	2	0	3	1	0	0	7	0	2	1	0	1	5	4	0	0	1	7	5	2	2	5	1	4	7	2	8	9	2	3	6	5	15	15	7	1	5	7	4	1	2	1	7	4	3	4	3
ASV_248	10	3	0	8	13	12	5	4	6	2	7	2	5	1	0	7	1	0	1	3	16	14	7	2	10	1	3	0	0	0	4	0	0	0	7	13	0	5	0	0	2	0	0	0	0	0	0
ASV_249	0	0	0	7	29	0	0	0	9	4	13	6	11	7	17	16	10	0	14	11	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_250	7	5	4	3	3	3	4	4	5	7	1	2	2	6	7	2	8	7	6	6	14	1	1	3	2	1	4	3	0	1	5	5	7	4	3	1	1	4	6	1	2	5	1	1	3	0	1
ASV_251	7	0	2	2	6	0	2	3	5	1	0	0	13	1	3	14	7	2	3	4	5	19	17	0	1	6	0	4	0	17	2	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_252	17	11	10	6	13	9	6	7	27	9	12	9	0	0	4	0	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
ASV_253	0	0	0	1	1	0	0	0	0	1	3	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	1	1	0	2	20	0	1	1	1	3	3	2	1	0	1	11	34	0	52	23	0
ASV_254	1	0	8	1	0	11	0	7	2	0	3	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	22	8	5	1	0	2	5	5	15	44	6	9
ASV_255	35	4	51	1	13	3	12	10	4	0	20	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_256	2	3	2	1	4	0	1	2	0	3	8	0	4	1	2	0	3	2	1	4	1	3	2	0	14	0	8	1	3	6	12	2	8	5	4	3	1	5	4	3	4	2	17	2	4	4	2
ASV_257	0	0	3	12	12	0	0	13	75	0	39	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_258	10	9	1	7	17	10	8	11	4	1	17	1	10	3	2	4	14	1	12	9	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_259	0	10	16	2	7	4	8	3	13	11	2	1	7	4	8	8	12	0	4	4	2	9	9	0	0	2	0	0	1	6	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0
ASV_260	7	3	3	3	10	2	4	2	3	5	2	2	24	2	10	15	22	14	3	6	0	0	15	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	150	0	0	0	8	0
ASV_262	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	4	3	7	0	0	0	1	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_263	3	1	0	0	4	1	0	2	1	1	3	0	4	1	1	0	10	2	1	5	5	2	1	1	9	0	3	3	0	6	23	1	2	6	2	7	0	0	4	5	7	0	6	5	15	3	1
ASV_264	1	1	5	1	8	2	0	3	1	1	1	0	1	0	0	0	8	2	2	0	2	1	0	0	11	0	4	1	1	8	6	1	4	6	8	3	3	4	8	3	12	3	15	7	4	1	3
ASV_265	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70	3	0	0	0	1	0	0	0	0	0	0	0	1	0	76
